,player_id,player,all_nba
34,5,Alex Abrines,0
49,8,Quincy Acy,0
70,10,Jaylen Adams,0
71,13,Steven Adams,0
79,15,Bam Adebayo,0
80,16,Deng Adel,0
139,25,DeVaughn Akoon-Purcell,0
168,30,LaMarcus Aldridge,0
193,39,Rawle Alkins,0
248,40,Grayson Allen,0
249,41,Jarrett Allen,0
250,43,Kadeem Allen,0
286,57,Al-Farouq Aminu,0
435,69,Justin Anderson,0
436,71,Kyle Anderson,0
437,76,Ryan Anderson,0
440,80,Ike Anigbogu,0
453,83,Giannis Antetokounmpo,1
454,84,Kostas Antetokounmpo,0
491,86,Carmelo Anthony,0
495,90,OG Anunoby,0
503,94,Ryan Arcidiacono,0
529,96,Trevor Ariza,0
646,111,D.J. Augustin,0
677,119,Deandre Ayton,0
695,124,Dwayne Bacon,0
710,127,Marvin Bagley,0
754,135,Ron Baker,0
757,137,Wade Baldwin,0
766,140,Lonzo Ball,0
767,141,Mo Bamba,0
816,147,J.J. Barea,0
865,151,Harrison Barnes,0
929,159,Will Barton,0
954,165,Keita Bates-Diop,0
1011,173,Nicolas Batum,0
1026,175,Jerryd Bayless,0
1033,176,Aron Baynes,0
1041,178,Kent Bazemore,0
1048,179,Bradley Beal,0
1062,181,Malik Beasley,0
1063,182,Michael Beasley,0
1088,186,Marco Belinelli,0
1110,188,Jordan Bell,0
1113,191,DeAndre' Bembry,0
1124,192,Dragan Bender,0
1177,207,Dairis Bertans,0
1178,208,Davis Bertans,0
1195,210,Patrick Beverley,0
1240,216,Khem Birch,0
1262,219,Bismack Biyombo,0
1266,220,Nemanja Bjelica,0
1315,231,Antonio Blakeney,0
1351,237,Eric Bledsoe,0
1352,238,Jaron Blossomgame,0
1394,245,Bogdan Bogdanovic,0
1395,246,Bojan Bogdanovic,0
1423,248,Andrew Bogut,0
1438,251,Jonah Bolden,0
1445,255,Isaac Bonga,0
1477,258,Devin Booker,0
1525,269,Chris Boucher,0
1633,282,Avery Bradley,0
1634,287,Tony Bradley,0
1713,299,Corey Brewer,0
1734,304,Mikal Bridges,0
1735,305,Miles Bridges,0
1736,306,Isaiah Briscoe,0
1743,310,Ryan Broekhoff,0
1748,312,Malcolm Brogdon,0
1783,314,Dillon Brooks,0
1784,316,MarShon Brooks,0
1934,322,Bruce Brown,0
1935,331,Jaylen Brown,0
1936,335,Lorenzo Brown,0
1937,345,Sterling Brown,0
1938,348,Troy Brown,0
1949,350,Jalen Brunson,0
1991,356,Thomas Bryant,0
2044,365,Reggie Bullock,0
2053,367,Trey Burke,0
2064,369,Alec Burks,0
2085,376,Deonte Burton,0
2138,382,Jimmy Butler,0
2166,390,Bruno Caboclo,0
2205,395,Jose Calderon,0
2217,397,Kentavious Caldwell-Pope,0
2269,404,Isaiah Canaan,0
2274,405,Clint Capela,0
2351,414,DeMarre Carroll,0
2397,421,Jevon Carter,0
2398,424,Vince Carter,0
2399,425,Wendell Carter,0
2405,426,Michael Carter-Williams,0
2422,428,Alex Caruso,0
2447,430,Omri Casspi,0
2471,434,Willie Cauley-Stein,0
2472,435,Troy Caupain,0
2485,437,Tyler Cavanaugh,0
2554,445,Tyson Chandler,0
2555,446,Wilson Chandler,0
2569,449,Joe Chealey,0
2615,457,Chris Chiozza,0
2618,458,Marquese Chriss,0
2659,467,Gary Clark,0
2660,468,Ian Clark,0
2666,471,Jordan Clarkson,0
2779,493,John Collins,0
2780,496,Zach Collins,0
2805,498,Darren Collison,0
2809,501,Bonzie Colson,0
2832,506,Mike Conley,0
2845,508,Pat Connaughton,0
2900,517,Quinn Cook,0
2957,535,DeMarcus Cousins,0
2963,536,Robert Covington,0
2970,538,Allen Crabbe,0
2972,539,Torrey Craig,0
3005,541,Jamal Crawford,0
3006,544,Mitch Creek,0
3047,555,Jae Crowder,0
3096,559,Dante Cunningham,0
3167,569,Seth Curry,0
3168,570,Stephen Curry,1
3243,579,Troy Daniels,0
3401,587,Anthony Davis,0
3402,594,Deyonta Davis,0
3403,595,Ed Davis,0
3404,605,Tyler Davis,0
3455,617,Dewayne Dedmon,0
3466,620,Sam Dekker,0
3485,624,Angel Delgado,0
3501,626,Matthew Dellavedova,0
3523,630,Luol Deng,0
3538,633,DeMar DeRozan,0
3539,634,Marcus Derrickson,0
3546,636,Cheick Diallo,0
3547,637,Hamidou Diallo,0
3591,645,Gorgui Dieng,0
3599,648,Spencer Dinwiddie,0
3634,652,Donte DiVincenzo,0
3667,657,Luka Doncic,0
3687,661,Tyler Dorsey,0
3689,662,Damyean Dotson,0
3726,671,PJ Dozier,0
3738,673,Goran Dragic,0
3794,682,Andre Drummond,0
3833,685,Jared Dudley,0
3890,693,Kris Dunn,0
3908,695,Kevin Durant,1
3916,699,Trevon Duval,0
4000,723,Vince Edwards,0
4045,729,Henry Ellenson,0
4055,730,Wayne Ellington,0
4145,740,Joel Embiid,1
4168,747,James Ennis,0
4176,752,Drew Eubanks,0
4229,755,Jacob Evans,0
4230,756,Jawun Evans,0
4231,761,Tyreke Evans,0
4268,765,Dante Exum,0
4281,768,Kenneth Faried,0
4310,774,Derrick Favors,0
4327,780,Cristiano Felicio,0
4343,783,Raymond Felton,0
4346,785,Terrance Ferguson,0
4365,789,Yogi Ferrell,0
4410,795,Dorian Finney-Smith,0
4475,807,Bryn Forbes,0
4540,821,Evan Fournier,0
4559,823,De'Aaron Fox,0
4607,831,Melvin Frazier,0
4608,832,Tim Frazier,0
4617,834,Jimmer Fredette,0
4635,837,Channing Frye,0
4644,841,Markelle Fultz,0
4684,849,Danilo Gallinari,0
4689,850,Langston Galloway,0
4766,864,Billy Garrett,0
4811,872,Marc Gasol,0
4812,873,Pau Gasol,0
4845,876,Rudy Gay,0
4895,884,Paul George,1
4920,891,Taj Gibson,0
4924,894,Harry Giles,0
4925,895,Shai Gilgeous-Alexander,0
5016,909,Rudy Gobert,1
5057,917,Brandon Goodwin,0
5088,918,Aaron Gordon,0
5089,921,Eric Gordon,0
5101,923,Marcin Gortat,0
5129,926,Devonte' Graham,0
5130,932,Treveon Graham,0
5218,942,Jerami Grant,0
5219,943,Jerian Grant,0
5220,946,Donte Grantham,0
5345,957,Danny Green,0
5346,959,Draymond Green,0
5347,961,Gerald Green,0
5348,962,JaMychal Green,0
5349,963,Jeff Green,0
5399,979,Blake Griffin,1
5508,1001,Daniel Hamilton,0
5530,1014,Dusty Hannahs,0
5594,1023,Tim Hardaway,0
5604,1024,James Harden,1
5613,1026,Maurice Harkless,0
5665,1033,Montrezl Harrell,0
5761,1039,Devin Harris,0
5762,1041,Gary Harris,0
5763,1042,Joe Harris,0
5764,1048,Tobias Harris,0
5775,1051,Andrew Harrison,0
5776,1053,Shaquille Harrison,0
5787,1055,Josh Hart,0
5788,1056,Isaiah Hartenstein,0
5818,1060,Udonis Haslem,0
5904,1072,Gordon Hayward,0
6000,1092,John Henson,0
6005,1096,Juancho Hernangomez,0
6006,1097,Willy Hernangomez,0
6023,1101,Mario Hezonja,0
6034,1103,Isaiah Hicks,0
6045,1105,Buddy Hield,0
6073,1111,Haywood Highsmith,0
6090,1113,Nene Hilario,0
6147,1114,George Hill,0
6148,1117,Solomon Hill,0
6217,1130,Aaron Holiday,0
6218,1131,Jrue Holiday,0
6219,1132,Justin Holiday,0
6224,1134,John Holland,0
6238,1136,Rondae Hollis-Jefferson,0
6242,1137,Richaun Holmes,0
6258,1142,Rodney Hood,0
6288,1147,Al Horford,0
6343,1154,Danuel House,0
6410,1160,Dwight Howard,0
6438,1168,Kevin Huerter,0
6490,1177,Isaac Humphries,0
6526,1185,R.J. Hunter,0
6540,1190,Chandler Hutchison,0
6557,1192,Serge Ibaka,0
6572,1193,Andre Iguodala,0
6612,1198,Ersan Ilyasova,0
6617,1199,Joe Ingles,0
6622,1201,Andre Ingram,0
6623,1202,Brandon Ingram,0
6634,1204,Kyrie Irving,1
6636,1205,Jonathan Isaac,0
6664,1209,Wesley Iwundu,0
6787,1215,Demetrius Jackson,0
6788,1216,Frank Jackson,0
6789,1217,Jaren Jackson,0
6790,1220,Josh Jackson,0
6791,1221,Justin Jackson,0
6792,1229,Reggie Jackson,0
6857,1240,LeBron James,1
6928,1252,Amile Jefferson,0
6948,1259,John Jenkins,0
6973,1264,Jonas Jerebko,0
7211,1270,Alize Johnson,0
7212,1271,Amir Johnson,0
7213,1275,B.J. Johnson,0
7214,1292,James Johnson,0
7215,1305,Stanley Johnson,0
7216,1309,Tyler Johnson,0
7217,1311,Wesley Johnson,0
7225,1315,Nikola Jokic,1
7386,1322,Damian Jones,0
7387,1325,Derrick Jones,0
7388,1334,Jalen Jones,0
7389,1336,Jemerrio Jones,0
7390,1346,Terrence Jones,0
7391,1347,Tyus Jones,0
7429,1349,DeAndre Jordan,0
7440,1355,Cory Joseph,0
7459,1361,Frank Kaminsky,0
7467,1362,Enes Kanter,0
7535,1376,Luke Kennard,0
7611,1387,Michael Kidd-Gilchrist,0
7661,1397,George King,0
7701,1409,Maxi Kleber,0
7756,1413,Brandon Knight,0
7757,1417,Kevin Knox,0
7778,1421,Furkan Korkmaz,0
7782,1423,Luke Kornet,0
7800,1425,Kyle Korver,0
7811,1426,Kosta Koufos,0
7846,1434,Rodions Kurucs,0
7850,1437,Kyle Kuzma,0
7857,1441,Skal Labissiere,0
7904,1447,Jeremy Lamb,0
7980,1467,Zach LaVine,0
7998,1473,Jake Layman,0
8000,1474,T.J. Leaf,0
8056,1479,Courtney Lee,0
8057,1480,Damion Lee,0
8069,1488,Walt Lemon,0
8075,1489,Alex Len,0
8103,1492,Kawhi Leonard,1
8104,1493,Meyers Leonard,0
8128,1498,Jon Leuer,0
8142,1500,Caris LeVert,0
8206,1511,Damian Lillard,1
8215,1512,Jeremy Lin,0
8258,1516,Shaun Livingston,0
8272,1522,Zach Lofton,0
8316,1528,Kevon Looney,0
8343,1529,Brook Lopez,0
8344,1532,Robin Lopez,0
8356,1534,Kevin Love,0
8373,1536,Kyle Lowry,0
8374,1537,Jordan Loyd,0
8376,1538,Kalin Lucas,0
8390,1541,Timothe Luwawu-Cabarrot,0
8392,1542,Tyler Lydon,0
8396,1543,Trey Lyles,0
8416,1547,Scott Machado,0
8435,1551,Shelvin Mack,0
8456,1556,Daryl Macon,0
8457,1558,J.P. Macura,0
8516,1567,Ian Mahinmi,0
8552,1571,Thon Maker,0
8658,1584,Boban Marjanovic,0
8660,1585,Lauri Markkanen,0
8762,1599,Jarell Martin,0
8808,1607,Frank Mason,0
8822,1610,Yante Maten,0
8842,1613,Wesley Matthews,0
8901,1625,Tahjere McCall,0
8932,1633,Patrick McCaw,0
8953,1639,C.J. McCollum,0
8957,1640,T.J. McConnell,0
9014,1653,Doug McDermott,0
9063,1660,JaVale McGee,0
9081,1663,Rodney McGruder,0
9158,1674,Alfonzo McKinnie,0
9164,1675,Ben McLemore,0
9200,1684,Jordan McRae,0
9230,1688,Jodie Meeks,0
9236,1690,Salah Mejri,0
9240,1693,De'Anthony Melton,0
9253,1696,Chimezie Metu,0
9268,1700,Khris Middleton,0
9298,1703,C.J. Miles,0
9404,1711,Darius Miller,0
9405,1713,Malcolm Miller,0
9436,1719,Patty Mills,0
9451,1722,Paul Millsap,0
9452,1723,Shake Milton,0
9477,1728,Nikola Mirotic,0
9496,1730,Donovan Mitchell,0
9498,1734,Naz Mitrou-Long,0
9561,1742,Malik Monk,0
9571,1743,Greg Monroe,0
9627,1750,E'Twaun Moore,0
9631,1756,Eric Moreland,0
9673,1762,Jaylen Morris,0
9674,1763,Marcus Morris,0
9675,1764,Markieff Morris,0
9676,1765,Monte Morris,0
9705,1776,Donatas Motiejunas,0
9707,1777,Johnathan Motley,0
9737,1781,Luc Mbah a Moute,0
9749,1783,Emmanuel Mudiay,0
9854,1799,Jamal Murray,0
9857,1804,Dzanan Musa,0
9863,1805,Mike Muscala,0
9897,1810,Svi Mykhailiuk,0
9905,1812,Abdel Nader,0
9938,1815,Larry Nance,0
9943,1816,Shabazz Napier,0
10057,1838,Raul Neto,0
10097,1844,Georges Niang,0
10130,1852,Joakim Noah,0
10144,1855,Nerlens Noel,0
10204,1863,Dirk Nowitzki,0
10206,1864,Frank Ntilikina,0
10208,1865,James Nunnally,0
10213,1866,Jusuf Nurkic,0
10217,1868,David Nwaba,0
10280,1882,Semi Ojeleye,0
10294,1884,Jahlil Okafor,0
10295,1885,Elie Okobo,0
10296,1886,Josh Okogie,0
10320,1889,Victor Oladipo,0
10387,1897,Kelly Olynyk,0
10426,1900,Royce O'Neale,0
10438,1903,Kyle O'Quinn,0
10453,1907,Cedi Osman,0
10473,1911,Kelly Oubre,0
10546,1922,Zaza Pachulia,0
10634,1935,Jabari Parker,0
10635,1937,Tony Parker,0
10652,1939,Chandler Parsons,0
10677,1944,Patrick Patterson,0
10679,1946,Justin Patton,0
10694,1948,Chris Paul,0
10727,1952,Cameron Payne,0
10751,1954,Elfrid Payton,0
10752,1955,Gary Payton,0
11013,1992,Theo Pinson,0
11057,2000,Mason Plumlee,0
11058,2001,Miles Plumlee,0
11077,2007,Jakob Poltl,0
11099,2009,Quincy Pondexter,0
11134,2014,Otto Porter,0
11138,2016,Bobby Portis,0
11189,2022,Dwight Powell,0
11190,2025,Norman Powell,0
11193,2027,Alex Poythress,0
11298,2046,Zhou Qi,0
11311,2050,Ivan Rabb,0
11361,2061,Chasson Randle,0
11362,2062,Julius Randle,0
11470,2078,J.J. Redick,0
11478,2079,Davon Reed,0
11529,2093,Cameron Reynolds,0
11605,2101,Josh Richardson,0
11606,2102,Malachi Richardson,0
11671,2112,Austin Rivers,0
11828,2129,Devin Robinson,0
11829,2130,Duncan Robinson,0
11830,2132,Glenn Robinson,0
11831,2135,Jerome Robinson,0
11832,2137,Mitchell Robinson,0
11896,2151,Rajon Rondo,0
11945,2153,Derrick Rose,0
11959,2158,Terrence Ross,0
11992,2168,Terry Rozier,0
12000,2169,Ricky Rubio,0
12068,2180,D'Angelo Russell,0
12078,2183,Domantas Sabonis,0
12130,2190,Brandon Sampson,0
12131,2191,JaKarr Sampson,0
12166,2203,Dario Saric,0
12173,2207,Tomas Satoransky,0
12253,2221,Dennis Schroder,0
12302,2228,Mike Scott,0
12327,2233,Thabo Sefolosha,0
12343,2236,Wayne Selden,0
12378,2244,Collin Sexton,0
12387,2247,Landry Shamet,0
12425,2259,Iman Shumpert,0
12431,2261,Pascal Siakam,0
12432,2262,Jordan Sibert,0
12473,2267,Ben Simmons,0
12474,2270,Jonathon Simmons,0
12475,2271,Kobi Simmons,0
12477,2274,Anfernee Simons,0
12558,2295,Marcus Smart,0
12752,2300,Dennis Smith,0
12753,2304,Ish Smith,0
12754,2305,J.R. Smith,0
12755,2307,Jason Smith,0
12756,2328,Zhaire Smith,0
12781,2331,Tony Snell,0
12813,2338,Ray Spalding,0
12842,2343,Omari Spellman,0
12927,2354,Nik Stauskas,0
12941,2357,D.J. Stephens,0
12950,2360,Lance Stephenson,0
13154,2395,Edmond Sumner,0
13188,2402,Caleb Swanigan,0
13236,2416,Jayson Tatum,0
13292,2432,Jeff Teague,0
13317,2436,Garrett Temple,0
13319,2437,Milos Teodosic,0
13320,2438,Jared Terrell,0
13343,2440,Emanuel Terry,0
13350,2443,Daniel Theis,0
13470,2452,Isaiah Thomas,0
13471,2459,Khyri Thomas,0
13472,2461,Lance Thomas,0
13539,2474,Klay Thompson,0
13540,2479,Tristan Thompson,0
13562,2483,Sindarius Thornwell,0
13642,2492,Anthony Tolliver,0
13673,2501,Karl-Anthony Towns,0
13690,2503,Gary Trent,0
13694,2505,Allonzo Trier,0
13740,2512,P.J. Tucker,0
13806,2519,Evan Turner,0
13807,2523,Myles Turner,0
13824,2529,Ekpe Udoh,0
13849,2533,Tyler Ulis,0
13862,2537,Jonas Valanciunas,0
13875,2541,Jarred Vanderbilt,0
13894,2545,Fred VanVleet,0
13994,2565,Noah Vonleh,0
14027,2572,Nikola Vucevic,0
14055,2574,Dwyane Wade,0
14068,2579,Moritz Wagner,0
14080,2580,Dion Waiters,0
14132,2585,Kemba Walker,1
14133,2587,Lonnie Walker,0
14142,2589,John Wall,0
14197,2594,Tyrone Wallace,0
14201,2596,Taurean Prince,0
14221,2601,Brad Wanamaker,0
14240,2605,T.J. Warren,0
14255,2610,Julian Washburn,0
14264,2615,Yuta Watanabe,0
14381,2638,Thomas Welsh,0
14479,2648,Russell Westbrook,1
14536,2656,Derrick White,0
14537,2660,Okaro White,0
14548,2669,Hassan Whiteside,0
14575,2674,Andrew Wiggins,0
14996,2690,Alan Williams,0
14997,2694,C.J. Williams,0
14998,2711,Johnathan Williams,0
14999,2715,Kenrich Williams,0
15000,2718,Lou Williams,0
15001,2720,Marvin Williams,0
15002,2730,Robert Williams,0
15003,2739,Troy Williams,0
15052,2745,D.J. Wilson,0
15080,2756,Justise Winslow,0
15136,2767,Christian Wood,0
15258,2784,Delon Wright,0
15265,2793,Guerschon Yabusele,0
15317,2801,Nick Young,0
15318,2804,Thaddeus Young,0
15319,2806,Trae Young,0
15333,2808,Cody Zeller,0
15334,2810,Tyler Zeller,0
15350,2818,Ante Zizic,0
15354,2820,Ivica Zubac,0
