PERSON_ID,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY,AGE
1630173,Precious Achiuwa,Raptors,Forward,203,102,Nigeria,1999-09-19,2,20,134,18.4,7.2,5.1,0.8,0.4,0.5,2711280,"23 years, 0 months, 0 days"
203500,Steven Adams,Grizzlies,Center,211,120,New Zealand,1993-07-20,9,12,664,26.8,9.3,8.0,1.5,0.9,0.9,17073171,"29 years, 1 months, 30 days"
1628389,Bam Adebayo,Heat,Center,206,116,USA,1997-07-18,5,14,343,28.2,13.5,8.3,3.5,1.0,0.9,28103550,"25 years, 2 months, 1 days"
1630583,Santi Aldama,Grizzlies,Forward,211,98,Spain,2001-01-10,1,30,32,11.2,4.1,2.7,0.7,0.2,0.3,1994520,"21 years, 8 months, 9 days"
200746,LaMarcus Aldridge,Nets,Center,211,113,USA,1985-07-19,16,2,1076,33.7,19.1,8.1,1.9,0.7,1.1,2641691,"37 years, 2 months, 0 days"
1629638,Nickeil Alexander-Walker,Jazz,Guard,196,93,Canada,1998-09-02,3,17,158,19.4,9.3,2.6,2.2,0.7,0.3,3261480,"24 years, 0 months, 17 days"
1628960,Grayson Allen,Bucks,Guard,193,90,USA,1995-10-08,4,21,192,21.9,9.4,2.6,1.5,0.6,0.2,4054695,"26 years, 11 months, 11 days"
1628386,Jarrett Allen,Cavaliers,Center,208,110,USA,1998-04-21,5,22,341,26.6,11.6,8.7,1.4,0.5,1.4,20000000,"24 years, 4 months, 29 days"
203937,Kyle Anderson,Timberwolves,Forward,206,104,USA,1993-09-20,8,30,505,21.0,6.7,4.4,2.3,1.0,0.6,9937150,"28 years, 11 months, 30 days"
203507,Giannis Antetokounmpo,Bucks,Forward,211,110,Greece,1994-12-06,9,15,656,32.6,21.8,9.4,4.6,1.2,1.3,39344970,"27 years, 9 months, 13 days"
203648,Thanasis Antetokounmpo,Bucks,Forward,198,99,Greece,1992-07-18,4,51,127,9.1,3.1,2.0,0.7,0.4,0.2,1729217,"30 years, 2 months, 1 days"
2546,Carmelo Anthony,Lakers,Forward,201,108,USA,1984-05-29,19,3,1260,34.5,22.5,6.2,2.7,1.0,0.5,2641691,"38 years, 3 months, 21 days"
1630175,Cole Anthony,Magic,Guard,190,84,USA,2000-05-15,2,15,112,29.8,14.9,5.1,5.0,0.7,0.3,3449400,"22 years, 4 months, 4 days"
1628384,OG Anunoby,Raptors,Forward,201,105,United Kingdom,1997-07-17,5,23,301,26.8,10.4,4.1,1.4,1.1,0.5,16071429,"25 years, 2 months, 2 days"
1627853,Ryan Arcidiacono,Bulls,Guard,190,88,USA,1994-03-26,6,Undrafted,217,17.2,4.6,2.0,2.1,0.5,0.0,586136,"28 years, 5 months, 24 days"
201571,D.J. Augustin,Lakers,Guard,180,83,USA,1987-11-10,14,9,976,23.4,9.5,1.8,3.9,0.6,0.0,7622467,"34 years, 10 months, 9 days"
1630166,Deni Avdija,Wizards,Forward,206,95,Israel,2001-01-03,2,9,136,23.8,7.6,5.1,1.7,0.7,0.4,4692840,"21 years, 8 months, 16 days"
1629028,Deandre Ayton,Suns,Center,211,113,Bahamas,1998-07-23,4,1,236,30.7,16.3,10.5,1.6,0.7,1.0,12632950,"24 years, 1 months, 27 days"
1628962,Udoka Azubuike,Jazz,Center,213,122,Nigeria,1999-09-17,2,27,32,7.9,3.0,2.6,0.0,0.1,0.5,2075880,"23 years, 0 months, 2 days"
1628963,Marvin Bagley III,Pistons,Forward,211,107,USA,1999-03-14,4,2,166,25.1,13.6,7.4,0.9,0.5,0.7,11312114,"23 years, 6 months, 5 days"
1630163,LaMelo Ball,Hornets,Guard,201,82,USA,2001-08-22,2,3,126,30.9,18.3,6.4,7.0,1.6,0.4,8231760,"21 years, 0 months, 28 days"
1628366,Lonzo Ball,Bulls,Guard,198,86,USA,1997-10-27,5,2,252,32.5,11.9,5.7,6.2,1.6,0.6,18604651,"24 years, 10 months, 23 days"
1628964,Mo Bamba,Magic,Center,213,105,USA,1998-05-12,4,6,226,18.6,7.7,6.1,0.9,0.4,1.4,7568742,"24 years, 4 months, 7 days"
1630217,Desmond Bane,Grizzlies,Guard,196,98,USA,1998-06-25,2,30,144,26.3,14.0,3.8,2.3,0.9,0.3,2033160,"24 years, 2 months, 25 days"
1630625,Dalano Banton,Raptors,Forward,201,93,Canada,1999-11-07,1,46,64,10.9,3.2,1.9,1.5,0.4,0.2,925258,"22 years, 10 months, 12 days"
203084,Harrison Barnes,Kings,Forward,203,102,USA,1992-05-30,10,7,747,31.8,14.1,5.1,1.8,0.7,0.2,20284091,"30 years, 3 months, 20 days"
1630567,Scottie Barnes,Raptors,Forward,201,102,USA,2001-08-01,1,4,74,35.4,15.3,7.5,3.5,1.1,0.7,7280520,"21 years, 1 months, 18 days"
1629628,RJ Barrett,Knicks,Forward,198,97,Canada,2000-06-14,3,3,198,33.5,17.5,5.6,2.9,0.8,0.3,8623920,"22 years, 3 months, 5 days"
203115,Will Barton,Wizards,Guard,196,82,USA,1991-01-06,10,40,623,25.9,11.6,4.3,2.7,0.8,0.4,15384615,"31 years, 8 months, 13 days"
1629646,Charles Bassey,76ers,Center,206,104,Nigeria,2000-10-28,1,53,23,7.3,3.0,2.7,0.3,0.2,0.7,925258,"21 years, 10 months, 22 days"
1628966,Keita Bates-Diop,Spurs,Forward,203,104,USA,1996-01-23,4,48,163,15.0,5.2,3.0,0.6,0.5,0.3,1729217,"26 years, 7 months, 27 days"
201587,Nicolas Batum,Clippers,Guard,203,104,France,1988-12-14,14,25,915,30.6,11.1,5.1,3.5,1.0,0.6,12213507,"33 years, 9 months, 5 days"
203145,Kent Bazemore,Lakers,Guard,193,88,USA,1989-07-01,10,Undrafted,657,20.6,8.2,3.2,1.8,1.0,0.5,2401537,"33 years, 2 months, 18 days"
1629647,Darius Bazley,Thunder,Forward,203,94,USA,2000-06-12,3,23,185,25.8,10.0,5.8,1.3,0.6,0.7,2513040,"22 years, 3 months, 7 days"
203078,Bradley Beal,Wizards,Guard,193,94,USA,1993-06-28,10,3,645,34.8,22.1,4.1,4.2,1.1,0.4,34502130,"29 years, 2 months, 22 days"
1627736,Malik Beasley,Jazz,Guard,193,85,USA,1996-11-26,6,19,336,20.9,10.4,2.5,1.2,0.6,0.1,14391964,"25 years, 9 months, 24 days"
202722,Davis Bertans,Mavericks,Forward,208,102,Latvia,1992-11-12,6,42,387,19.1,8.2,2.7,1.0,0.4,0.4,16000000,"29 years, 10 months, 7 days"
201976,Patrick Beverley,Lakers,Guard,185,82,USA,1988-07-12,10,42,526,27.4,8.8,4.3,3.5,1.1,0.5,14320988,"34 years, 2 months, 7 days"
1630180,Saddiq Bey,Pistons,Forward,201,98,USA,1999-04-09,2,19,152,30.4,14.3,5.0,2.2,0.8,0.2,2824320,"23 years, 5 months, 10 days"
203920,Khem Birch,Raptors,Center,206,106,Canada,1992-09-28,5,Undrafted,262,17.8,5.2,4.6,1.0,0.5,0.6,6350000,"29 years, 11 months, 22 days"
1629048,Goga Bitadze,Pacers,Center,213,113,Georgia,1999-07-20,3,18,149,11.8,5.0,2.9,0.8,0.3,0.9,3098400,"23 years, 1 months, 30 days"
202687,Bismack Biyombo,Suns,Center,203,116,DRC,1992-08-28,11,7,738,19.9,5.2,6.1,0.6,0.3,1.3,1366392,"30 years, 0 months, 22 days"
202357,Nemanja Bjelica,Warriors,Forward,206,106,Serbia,1988-05-09,8,35,449,20.4,7.6,4.6,1.8,0.6,0.4,2089448,"34 years, 4 months, 10 days"
202339,Eric Bledsoe,Trail Blazers,Guard,185,97,USA,1989-12-09,13,18,756,27.8,13.7,3.9,4.7,1.4,0.5,18125000,"32 years, 9 months, 10 days"
203992,Bogdan Bogdanovic,Hawks,Guard,198,102,Serbia,1992-08-18,5,27,316,28.6,14.2,3.4,3.4,1.0,0.2,18000000,"30 years, 1 months, 1 days"
202711,Bojan Bogdanovic,Jazz,Forward,201,103,Croatia,1989-04-18,8,31,603,29.1,15.0,3.6,1.6,0.6,0.1,18700000,"33 years, 5 months, 1 days"
1629626,Bol Bol,Magic,Center,218,100,Sudan,1999-11-16,3,44,53,6.2,2.7,1.2,0.3,0.1,0.3,2161152,"22 years, 10 months, 3 days"
1630195,Leandro Bolmaro,Jazz,Forward,198,91,Argentina,2000-09-11,1,23,35,6.9,1.4,1.2,0.6,0.2,0.0,2353320,"22 years, 0 months, 8 days"
1629067,Isaac Bonga,Raptors,Guard,203,82,Germany,1999-11-08,4,39,143,13.1,3.1,2.2,0.8,0.5,0.3,1729217,"22 years, 10 months, 11 days"
1626164,Devin Booker,Suns,Guard,196,93,USA,1996-10-30,7,13,477,33.7,23.5,3.9,4.7,0.8,0.3,31610000,"25 years, 10 months, 20 days"
1628449,Chris Boucher,Raptors,Forward,206,91,Saint Lucia,1993-01-11,5,Undrafted,231,17.9,9.0,5.3,0.5,0.5,1.2,7009615,"29 years, 8 months, 8 days"
1630547,James Bouknight,Hornets,Guard,193,86,USA,2000-09-18,1,11,31,9.8,4.6,1.7,0.8,0.2,0.0,4154400,"22 years, 0 months, 1 days"
202340,Avery Bradley,Lakers,Guard,190,82,USA,1990-11-26,12,19,660,27.5,11.0,2.8,1.7,1.0,0.2,2641691,"31 years, 9 months, 24 days"
1628396,Tony Bradley,Bulls,Center,208,112,USA,1998-01-08,5,28,167,11.7,4.6,4.3,0.5,0.2,0.6,1789256,"24 years, 8 months, 11 days"
1628969,Mikal Bridges,Suns,Forward,198,95,USA,1996-08-30,4,10,309,31.3,11.3,3.9,2.1,1.3,0.6,5557725,"26 years, 0 months, 20 days"
1628970,Miles Bridges,Hornets,Forward,201,102,USA,1998-03-21,4,12,291,29.1,13.4,5.6,2.3,0.7,0.7,5421493,"24 years, 5 months, 29 days"
1629052,Oshae Brissett,Pacers,Forward,201,95,Canada,1998-06-20,3,Undrafted,107,20.7,8.2,4.7,0.9,0.6,0.5,1701593,"24 years, 2 months, 30 days"
1627763,Malcolm Brogdon,Celtics,Guard,196,104,USA,1992-12-11,6,36,333,30.2,15.5,4.2,4.8,0.9,0.2,21700000,"29 years, 9 months, 8 days"
1629717,Armoni Brooks,Raptors,Guard,190,88,USA,1998-06-05,3,,74,18.4,6.9,2.3,1.2,0.5,0.2,1489065,"24 years, 3 months, 14 days"
1628415,Dillon Brooks,Grizzlies,Guard,201,102,Canada,1996-01-22,5,45,272,28.2,14.5,3.0,2.0,1.0,0.3,12200000,"26 years, 7 months, 28 days"
1628971,Bruce Brown,Nuggets,Guard,193,92,USA,1996-08-15,4,42,269,23.5,7.6,4.3,2.1,0.9,0.5,4736102,"26 years, 1 months, 4 days"
1627759,Jaylen Brown,Celtics,Guard,198,101,USA,1996-10-24,6,3,403,28.7,16.5,4.9,2.0,0.9,0.4,24830357,"25 years, 10 months, 26 days"
1629650,Moses Brown,Clippers,Center,218,111,USA,1999-10-13,3,Undrafted,92,14.1,6.0,5.8,0.1,0.4,0.7,1701593,"22 years, 11 months, 6 days"
1628425,Sterling Brown,Rockets,Guard,196,99,USA,1995-02-10,5,46,264,16.8,5.4,3.3,1.0,0.5,0.2,3000000,"27 years, 7 months, 9 days"
1630535,Greg Brown III,Trail Blazers,Forward,201,93,USA,2001-09-01,1,43,48,13.3,4.7,2.8,0.7,0.5,0.5,925258,"21 years, 0 months, 18 days"
1628972,Troy Brown Jr.,Lakers,Guard,198,98,USA,1999-07-28,4,15,221,18.5,6.4,3.8,1.6,0.7,0.1,5170564,"23 years, 1 months, 22 days"
1628973,Jalen Brunson,Knicks,Guard,185,86,USA,1996-08-31,4,33,277,24.7,11.9,3.0,3.7,0.6,0.0,1802057,"26 years, 0 months, 19 days"
1628418,Thomas Bryant,Lakers,Center,208,112,USA,1997-07-31,5,42,170,20.1,10.2,5.7,1.3,0.4,0.9,8730159,"25 years, 1 months, 19 days"
203493,Reggie Bullock,Mavericks,Guard,198,93,USA,1991-03-16,9,25,434,22.5,7.8,2.5,1.2,0.6,0.1,9536000,"31 years, 6 months, 3 days"
203504,Trey Burke,Rockets,Guard,183,84,USA,1992-11-12,9,9,498,20.9,9.6,1.8,3.1,0.6,0.1,3333333,"29 years, 10 months, 7 days"
202692,Alec Burks,Pistons,Guard,198,97,USA,1991-07-20,11,12,625,23.0,10.6,3.5,2.0,0.7,0.2,9536000,"31 years, 1 months, 30 days"
1630215,Jared Butler,Jazz,Guard,190,88,USA,2000-08-25,1,40,42,8.6,3.8,1.1,1.5,0.4,0.2,925258,"22 years, 0 months, 25 days"
202710,Jimmy Butler,Heat,Forward,201,104,USA,1989-09-14,11,30,690,33.1,17.7,5.3,4.1,1.6,0.5,36016200,"33 years, 0 months, 5 days"
203484,Kentavious Caldwell-Pope,Nuggets,Guard,196,93,USA,1993-02-18,9,8,683,29.2,11.6,3.1,1.7,1.1,0.2,13038862,"29 years, 7 months, 1 days"
1630267,Facundo Campazzo,Nuggets,Guard,178,88,Argentina,1991-03-23,3,Undrafted,130,20.1,5.6,1.9,3.5,1.1,0.3,3804150,"31 years, 5 months, 27 days"
1628427,Vlatko Cancar,Nuggets,Forward,203,107,Slovenia,1997-04-10,3,49,70,7.2,2.3,1.3,0.5,0.2,0.1,1782621,"25 years, 5 months, 9 days"
203991,Clint Capela,Hawks,Center,208,116,Switzerland,1994-05-18,8,25,471,26.8,12.4,10.7,1.0,0.7,1.5,17103448,"28 years, 4 months, 1 days"
1630176,Vernon Carey Jr.,Wizards,Forward,206,122,USA,2001-02-25,2,32,26,6.1,2.5,1.5,0.1,0.1,0.2,1517981,"21 years, 6 months, 25 days"
1628975,Jevon Carter,Bucks,Guard,185,91,USA,1995-09-14,4,32,223,14.1,4.4,1.7,1.4,0.6,0.2,4107149,"27 years, 0 months, 5 days"
1628976,Wendell Carter Jr.,Magic,Center,208,122,USA,1999-04-16,4,7,203,27.5,12.2,8.9,2.0,0.6,0.9,6920027,"23 years, 5 months, 3 days"
1627936,Alex Caruso,Bulls,Guard,196,84,USA,1994-02-28,5,Undrafted,225,20.6,6.2,2.5,2.7,1.1,0.3,8604651,"28 years, 6 months, 22 days"
1627737,Marquese Chriss,Rockets,Forward,206,109,USA,1997-07-02,6,8,292,18.3,7.6,4.7,1.0,0.6,0.8,958529,"25 years, 2 months, 17 days"
1630528,Josh Christopher,Rockets,Guard,190,98,USA,2001-12-08,1,24,74,18.0,7.9,2.5,2.0,0.9,0.2,2259240,"20 years, 9 months, 11 days"
1629109,Gary Clark,Pelicans,Forward,198,102,USA,1994-11-16,4,Undrafted,170,13.2,3.1,2.5,0.5,0.3,0.4,377645,"27 years, 10 months, 3 days"
1629634,Brandon Clarke,Grizzlies,Forward,203,98,Canada,1996-09-19,3,21,181,21.9,10.9,5.6,1.4,0.7,0.9,2726880,"26 years, 0 months, 0 days"
203903,Jordan Clarkson,Jazz,Guard,193,88,USA,1992-06-07,8,46,600,27.0,15.4,3.3,2.5,0.9,0.1,12420000,"30 years, 3 months, 12 days"
1629651,Nic Claxton,Nets,Center,211,98,USA,1999-04-17,3,31,94,18.7,7.3,5.0,0.9,0.5,1.1,1782621,"23 years, 5 months, 2 days"
1628381,John Collins,Hawks,Forward,206,103,USA,1997-09-23,5,19,293,29.0,16.5,8.3,1.6,0.6,1.0,23000000,"24 years, 11 months, 27 days"
1628380,Zach Collins,Spurs,Forward,211,113,USA,1997-11-19,4,10,182,17.5,6.0,4.2,1.1,0.3,0.7,6984127,"24 years, 10 months, 0 days"
201144,Mike Conley,Jazz,Guard,185,79,USA,1987-10-11,15,4,958,32.0,14.8,3.0,5.6,1.4,0.2,21000000,"34 years, 11 months, 8 days"
1626192,Pat Connaughton,Bucks,Guard,196,95,USA,1993-01-06,7,41,417,18.5,5.9,3.3,1.2,0.5,0.3,5333333,"29 years, 8 months, 13 days"
202326,DeMarcus Cousins,Nuggets,Center,208,122,USA,1990-08-13,12,5,654,29.8,19.6,10.2,3.0,1.3,1.1,1290481,"32 years, 1 months, 6 days"
203496,Robert Covington,Clippers,Forward,201,95,USA,1990-12-14,9,Undrafted,537,29.9,11.6,5.8,1.5,1.6,1.0,12975471,"31 years, 9 months, 5 days"
1628470,Torrey Craig,Suns,Forward,201,100,USA,1990-12-19,5,Undrafted,300,18.7,5.7,3.6,0.9,0.5,0.5,4878049,"31 years, 9 months, 0 days"
203109,Jae Crowder,Suns,Forward,198,107,USA,1990-07-06,10,34,735,25.3,9.6,4.3,1.6,1.0,0.3,9720900,"32 years, 2 months, 13 days"
1629633,Jarrett Culver,Grizzlies,Guard,198,88,USA,1999-02-20,3,6,134,17.5,6.6,2.7,1.2,0.7,0.4,6395160,"23 years, 6 months, 30 days"
1630595,Cade Cunningham,Pistons,Guard,198,100,USA,2001-09-25,1,1,64,32.6,17.4,5.5,5.6,1.2,0.7,10050120,"20 years, 11 months, 25 days"
203552,Seth Curry,Nets,Guard,188,84,USA,1990-08-23,8,Undrafted,377,25.2,11.3,2.2,2.2,0.7,0.1,8186047,"32 years, 0 months, 27 days"
201939,Stephen Curry,Warriors,Guard,188,84,USA,1988-03-14,13,7,826,34.3,24.3,4.6,6.5,1.7,0.2,45780966,"34 years, 6 months, 5 days"
203076,Anthony Davis,Lakers,Forward,208,115,USA,1993-03-11,10,1,604,34.4,23.8,10.2,2.3,1.4,2.3,35361360,"29 years, 6 months, 8 days"
202334,Ed Davis,Cavaliers,Center,206,99,USA,1989-06-05,13,13,722,19.1,5.9,6.4,0.7,0.5,0.8,2641691,"33 years, 3 months, 14 days"
1629056,Terence Davis,Kings,Guard,193,91,USA,1997-05-16,3,Undrafted,163,17.3,8.5,3.0,1.5,0.7,0.2,4000000,"25 years, 4 months, 3 days"
201942,DeMar DeRozan,Bulls,Guard,198,100,USA,1989-08-07,13,9,957,34.3,20.8,4.4,3.9,1.0,0.3,26000000,"33 years, 1 months, 12 days"
203473,Dewayne Dedmon,Heat,Center,213,111,USA,1989-08-12,9,Undrafted,477,17.8,6.4,5.9,0.7,0.5,0.8,5256308,"33 years, 1 months, 7 days"
1628978,Donte DiVincenzo,Warriors,Guard,193,92,USA,1997-01-31,4,17,201,23.6,9.0,4.6,2.5,1.1,0.2,4675830,"25 years, 7 months, 19 days"
1628977,Hamidou Diallo,Pistons,Guard,196,92,USA,1998-07-31,4,45,207,18.9,8.4,3.9,1.1,0.8,0.3,5200000,"24 years, 1 months, 19 days"
203476,Gorgui Dieng,Spurs,Center,208,112,Senegal,1990-01-18,9,21,597,20.6,7.5,5.7,1.3,0.8,0.9,4000000,"32 years, 8 months, 1 days"
203915,Spencer Dinwiddie,Mavericks,Guard,198,98,USA,1993-04-06,8,38,387,26.4,13.0,3.0,5.0,0.7,0.3,17142857,"29 years, 5 months, 13 days"
1629029,Luka Doncic,Mavericks,Forward,201,104,Slovenia,1999-02-28,4,3,264,33.8,26.4,8.5,8.0,1.1,0.4,10174391,"23 years, 6 months, 22 days"
1629652,Luguentz Dort,Thunder,Guard,190,98,Canada,1999-04-19,3,Undrafted,139,29.0,13.3,3.5,1.5,0.9,0.3,1782621,"23 years, 5 months, 0 days"
1630245,Ayo Dosunmu,Bulls,Guard,193,91,USA,2000-01-17,1,38,77,27.4,8.8,2.8,3.3,0.8,0.4,925258,"22 years, 8 months, 2 days"
201609,Goran Dragic,Bulls,Guard,190,86,Slovenia,1986-05-06,14,45,888,27.9,13.7,3.1,4.8,1.0,0.2,20168742,"36 years, 4 months, 13 days"
203083,Andre Drummond,Bulls,Center,208,127,USA,1993-08-10,10,9,718,29.6,13.8,13.3,1.4,1.4,1.5,2401537,"29 years, 1 months, 9 days"
1630537,Chris Duarte,Pacers,Guard,196,86,Dominican Republic,1997-06-13,1,13,55,28.0,13.1,4.1,2.1,1.0,0.2,3749520,"25 years, 3 months, 6 days"
201142,Kevin Durant,Nets,Forward,208,109,USA,1988-09-29,14,2,939,36.8,27.2,7.1,4.3,1.1,1.1,40918900,"33 years, 11 months, 21 days"
1630162,Anthony Edwards,Timberwolves,Guard,193,102,USA,2001-08-05,2,1,144,33.2,20.3,4.7,3.4,1.3,0.6,10245480,"21 years, 1 months, 14 days"
1629604,CJ Elleby,Timberwolves,Forward,198,91,USA,2000-06-16,2,46,88,15.5,4.6,2.9,1.1,0.5,0.3,1517981,"22 years, 3 months, 3 days"
201961,Wayne Ellington,Lakers,Guard,193,94,USA,1987-11-29,13,28,770,20.9,8.0,2.1,1.1,0.5,0.1,2641691,"34 years, 9 months, 21 days"
203954,Joel Embiid,76ers,Center,213,127,Cameroon,1994-03-16,6,3,328,31.2,26.0,11.4,3.3,0.9,1.7,31579390,"28 years, 6 months, 3 days"
202324,Derrick Favors,Thunder,Forward,206,120,USA,1991-07-15,12,3,790,24.3,10.6,7.1,1.1,0.7,1.2,9720900,"31 years, 2 months, 4 days"
1628981,Bruno Fernando,Rockets,Forward,206,109,Angola,1998-08-15,3,34,119,9.2,3.2,2.8,0.6,0.2,0.3,1782621,"24 years, 1 months, 4 days"
1627827,Dorian Finney-Smith,Mavericks,Forward,201,100,USA,1993-05-04,6,Undrafted,394,27.3,8.2,4.5,1.4,0.8,0.4,4000000,"29 years, 4 months, 15 days"
1630238,Malik Fitts,Celtics,Forward,196,104,USA,1997-07-04,3,Undrafted,18,4.1,1.3,1.1,0.3,0.0,0.0,85578,"25 years, 2 months, 15 days"
1630201,Malachi Flynn,Raptors,Guard,185,79,USA,1998-05-09,2,29,91,16.1,6.0,2.0,2.3,0.6,0.1,2048040,"24 years, 4 months, 10 days"
203095,Evan Fournier,Knicks,Guard,198,93,France,1992-10-29,10,20,645,28.6,14.3,2.7,2.6,0.9,0.2,18139535,"29 years, 10 months, 21 days"
1628368,De'Aaron Fox,Kings,Guard,190,84,USA,1997-12-20,5,5,322,32.1,19.1,3.5,6.2,1.3,0.4,28103550,"24 years, 8 months, 30 days"
1628365,Markelle Fultz,Magic,Guard,193,95,USA,1998-05-29,5,1,131,24.8,10.9,3.2,4.8,1.1,0.2,16500000,"24 years, 3 months, 21 days"
1629655,Daniel Gafford,Wizards,Forward,206,106,USA,1998-10-01,3,38,169,16.8,7.6,4.4,0.7,0.4,1.4,1782621,"23 years, 11 months, 18 days"
201568,Danilo Gallinari,Celtics,Forward,208,107,Italy,1988-08-08,13,6,728,29.9,15.6,4.8,1.9,0.7,0.4,20475000,"34 years, 1 months, 11 days"
1629636,Darius Garland,Cavaliers,Guard,185,87,USA,2000-01-26,3,5,181,33.4,17.4,2.6,6.3,1.1,0.1,7040880,"22 years, 7 months, 24 days"
1630586,Usman Garuba,Rockets,Forward,203,104,Spain,2002-03-09,1,23,24,10.0,2.0,3.5,0.7,0.4,0.5,2353320,"20 years, 6 months, 10 days"
1630568,Luka Garza,Timberwolves,Center,208,110,USA,1998-12-27,1,52,32,12.2,5.8,3.1,0.6,0.3,0.2,925258,"23 years, 8 months, 23 days"
200752,Rudy Gay,Jazz,Forward,203,113,USA,1986-08-17,16,8,1064,31.7,16.3,5.8,2.1,1.1,0.7,5890000,"36 years, 1 months, 2 days"
202331,Paul George,Clippers,Forward,203,100,USA,1990-05-02,12,10,737,33.6,20.4,6.4,3.6,1.7,0.4,39344970,"32 years, 4 months, 17 days"
201959,Taj Gibson,Wizards,Forward,206,105,USA,1985-06-24,13,26,896,24.5,9.0,6.1,1.0,0.6,1.0,4910000,"37 years, 2 months, 26 days"
1630581,Josh Giddey,Thunder,Guard,203,93,Australia,2002-10-10,1,6,54,31.5,12.5,7.8,6.4,0.9,0.4,5988000,"19 years, 11 months, 9 days"
1628983,Shai Gilgeous-Alexander,Thunder,Guard,198,82,Canada,1998-07-12,4,11,243,31.8,18.2,4.5,4.3,1.1,0.7,5495532,"24 years, 2 months, 7 days"
1630264,Anthony Gill,Wizards,Forward,201,104,USA,1992-10-17,2,Undrafted,70,9.7,3.7,1.9,0.5,0.2,0.2,1517981,"29 years, 11 months, 2 days"
203497,Rudy Gobert,Timberwolves,Center,216,117,France,1992-06-26,9,27,611,30.0,12.4,11.7,1.3,0.7,2.2,35344828,"30 years, 2 months, 24 days"
203932,Aaron Gordon,Nuggets,Forward,203,107,USA,1995-09-16,8,4,528,28.9,13.0,6.3,2.5,0.7,0.6,16409091,"27 years, 0 months, 3 days"
201569,Eric Gordon,Rockets,Guard,190,98,USA,1988-12-25,14,7,749,32.4,16.4,2.4,2.8,0.9,0.3,18218818,"33 years, 8 months, 25 days"
1628984,Devonte' Graham,Pelicans,Guard,185,88,USA,1995-02-22,4,34,240,27.9,12.8,2.5,5.0,0.9,0.1,11000000,"27 years, 6 months, 28 days"
